month,tone,frequency,department
2019-03,Neutral,0.11592156862745098,Bogotá Distrito Capital
2019-03,Positive,0.06745098039215686,Bogotá Distrito Capital
2019-03,Negative without reposts,0.17040029379361,Bogotá Distrito Capital
2019-03,Neutral without reposts,0.09768637532133675,Bogotá Distrito Capital
2019-03,Positive without reposts,0.07418288652221815,Bogotá Distrito Capital
2019-04,Negative,0.10415686274509804,Bogotá Distrito Capital
2019-04,Neutral,0.24941176470588236,Bogotá Distrito Capital
2019-04,Positive,0.08768627450980392,Bogotá Distrito Capital
2019-04,Negative without reposts,0.144693352919574,Bogotá Distrito Capital
2019-04,Neutral without reposts,0.09915534337128168,Bogotá Distrito Capital
2019-04,Positive without reposts,0.08373117884686009,Bogotá Distrito Capital
2019-05,Negative,0.18196078431372548,Bogotá Distrito Capital
2019-05,Neutral,0.35090196078431374,Bogotá Distrito Capital
2019-05,Positive,0.14588235294117646,Bogotá Distrito Capital
2019-05,Negative without reposts,0.20051413881748073,Bogotá Distrito Capital
2019-05,Neutral without reposts,0.12155710613294161,Bogotá Distrito Capital
2019-05,Positive without reposts,0.10833639368343738,Bogotá Distrito Capital
2019-06,Negative,0.15984313725490196,Bogotá Distrito Capital
2019-06,Neutral,0.12737254901960784,Bogotá Distrito Capital
2019-06,Positive,0.09992156862745098,Bogotá Distrito Capital
2019-06,Negative without reposts,0.22144693352919573,Bogotá Distrito Capital
2019-06,Neutral without reposts,0.12449504223283143,Bogotá Distrito Capital
2019-06,Positive without reposts,0.1072346676459787,Bogotá Distrito Capital
2019-07,Negative,0.10007843137254901,Bogotá Distrito Capital
2019-07,Neutral,0.1383529411764706,Bogotá Distrito Capital
2019-07,Positive,0.08407843137254901,Bogotá Distrito Capital
2019-07,Negative without reposts,0.16636063165626147,Bogotá Distrito Capital
2019-07,Neutral without reposts,0.10282776349614396,Bogotá Distrito Capital
2019-07,Positive without reposts,0.10135879544619905,Bogotá Distrito Capital
2019-08,Negative,0.14494117647058824,Bogotá Distrito Capital
2019-08,Neutral,0.14086274509803923,Bogotá Distrito Capital
2019-08,Positive,0.1011764705882353,Bogotá Distrito Capital
2019-08,Negative without reposts,0.2185089974293059,Bogotá Distrito Capital
2019-08,Neutral without reposts,0.1369812706573632,Bogotá Distrito Capital
2019-08,Positive without reposts,0.09988982739625413,Bogotá Distrito Capital
2019-09,Negative,0.1512156862745098,Bogotá Distrito Capital
2019-09,Neutral,0.11309803921568627,Bogotá Distrito Capital
2019-09,Positive,0.0756078431372549,Bogotá Distrito Capital
2019-09,Negative without reposts,0.2453176643408006,Bogotá Distrito Capital
2019-09,Neutral without reposts,0.12045538009548293,Bogotá Distrito Capital
2019-09,Positive without reposts,0.0892398090341535,Bogotá Distrito Capital
2019-10,Negative,0.09913725490196078,Bogotá Distrito Capital
2019-10,Neutral,0.09145098039215686,Bogotá Distrito Capital
2019-10,Positive,0.062431372549019606,Bogotá Distrito Capital
2019-10,Negative without reposts,0.1795813441057657,Bogotá Distrito Capital
2019-10,Neutral without reposts,0.09364671318398825,Bogotá Distrito Capital
2019-10,Positive without reposts,0.09621740727139184,Bogotá Distrito Capital
2019-11,Negative,1.0,Bogotá Distrito Capital
2019-11,Neutral,0.1672156862745098,Bogotá Distrito Capital
2019-11,Positive,0.13772549019607844,Bogotá Distrito Capital
2019-11,Negative without reposts,1.0,Bogotá Distrito Capital
2019-11,Neutral without reposts,0.19206757253029746,Bogotá Distrito Capital
2019-11,Positive without reposts,0.19059860448035254,Bogotá Distrito Capital
2019-12,Negative,0.12643137254901962,Bogotá Distrito Capital
2019-12,Neutral,0.0784313725490196,Bogotá Distrito Capital
2019-12,Positive,0.07780392156862745,Bogotá Distrito Capital
2019-12,Negative without reposts,0.2016158648549394,Bogotá Distrito Capital
2019-12,Neutral without reposts,0.09401395519647447,Bogotá Distrito Capital
2019-12,Positive without reposts,0.08777084098420859,Bogotá Distrito Capital
2020-01,Negative,0.14650980392156862,Bogotá Distrito Capital
2020-01,Neutral,0.1032156862745098,Bogotá Distrito Capital
2020-01,Positive,0.059294117647058824,Bogotá Distrito Capital
2020-01,Negative without reposts,0.2442159383033419,Bogotá Distrito Capital
2020-01,Neutral without reposts,0.11457950789570327,Bogotá Distrito Capital
2020-01,Positive without reposts,0.08593463092177746,Bogotá Distrito Capital
2020-02,Negative,0.14619607843137256,Bogotá Distrito Capital
2020-02,Neutral,0.08658823529411765,Bogotá Distrito Capital
2020-02,Positive,0.07011764705882353,Bogotá Distrito Capital
2020-02,Negative without reposts,0.23319867792875504,Bogotá Distrito Capital
